"Story","Title","Result","Date","Stability","Duration (s)"
"The NewTours website is used for flight bookings.","Validate that an unregistered user cannot login in to the NewTours website.","SUCCESS","2019-02-02T13:44:36.168Z[Europe/London]","0.0","7.87"
"The NewTours website is used for flight bookings.","Validate that the web user is able to perform flight bookings","SUCCESS","2019-02-02T13:44:44.045Z[Europe/London]","0.0","13.97"
